time	pressure1	pressure2
100.102	-2968.52	-2004.89
100.105	-2856.76	-2091.66
100.107	-2733.8	-2180.49
100.11	-2612	-2260.07
100.112	-2498.27	-2333.89
100.115	-2399.35	-2399.95
100.117	-2319.9	-2455.28
100.12	-2257.82	-2494.91
100.122	-2210.45	-2516.82
100.125	-2172.77	-2518.36
100.127	-2135.43	-2500.24
100.13	-2103.14	-2466.69
100.132	-2071.31	-2423.45
100.135	-2036.45	-2373.31
100.137	-1999.4	-2318.25
100.14	-1958.83	-2260.85
100.142	-1912.73	-2206.31
100.145	-1864.9	-2155.54
100.147	-1810.16	-2106.72
100.15	-1749.26	-2056.98
100.152	-1677.64	-2007.39
100.155	-1597.35	-1959.78
100.157	-1505.14	-1909.24
100.16	-1394.87	-1854.49
100.162	-1273.74	-1789.4
100.165	-1151.22	-1710.3
100.167	-1038.48	-1617.51
100.17	-936.903	-1505.9
100.172	-859.751	-1383.85
100.175	-805.285	-1250.52
100.177	-786.657	-1111.0
100.18	-796.231	-972.765
100.182	-845.852	-840.863
100.185	-928.071	-716.178
100.187	-1052.84	-595.298
100.19	-1214.19	-480.042
100.192	-1406.51	-369.073
100.195	-1627.38	-273.724
100.197	-1865.93	-196.256
100.2	-2107.59	-126.822
