date	residual1	residual2	residual3
1,00E+08	1,06E-02	4,98E-02	2,49E+00
1,00E+08	9,46E-03	3,46E+00	3,70E+00
1,00E+08	8,42E-03	4,98E-02	4,15E-01
1,00E+08	7,50E-03	3,46E+00	3,49E+00
1,00E+08	6,67E-03	4,98E-02	3,95E-01
1,00E+08	5,94E-03	3,46E+00	3,49E+00
1,00E+08	5,29E-03	4,98E-02	3,96E-01
1,00E+08	4,71E-03	3,46E+00	3,49E+00
1,00E+08	4,19E-03	4,98E-02	3,97E-01
1,00E+08	3,73E-03	3,46E+00	3,49E+00
1,00E+08	3,32E-03	4,98E-02	3,97E-01
1,00E+08	2,95E-03	3,46E+00	3,49E+00
1,00E+08	2,63E-03	4,98E-02	3,98E-01
1,00E+08	2,34E-03	3,46E+00	3,49E+00
1,00E+08	2,08E-03	4,98E-02	3,98E-01
1,00E+08	1,85E-03	3,46E+00	3,49E+00
1,00E+08	1,65E-03	4,98E-02	3,98E-01
1,00E+08	1,47E-03	3,46E+00	3,49E+00
1,00E+08	1,31E-03	4,98E-02	3,99E-01
1,00E+08	1,16E-03	3,46E+00	3,49E+00
1,00E+08	1,04E-03	4,98E-02	3,99E-01
1,00E+08	9,22E-04	3,46E+00	3,49E+00
1,00E+08	8,21E-04	4,98E-02	3,99E-01
1,00E+08	7,31E-04	3,46E+00	3,49E+00
1,00E+08	6,50E-04	4,98E-02	3,99E-01
1,00E+08	5,79E-04	3,46E+00	3,49E+00
1,00E+08	5,15E-04	4,98E-02	3,99E-01
1,00E+08	4,59E-04	3,46E+00	3,50E+00
1,00E+08	4,08E-04	4,98E-02	3,99E-01
1,00E+08	3,63E-04	3,46E+00	3,50E+00
1,00E+08	3,23E-04	4,98E-02	3,99E-01
1,00E+08	2,88E-04	3,46E+00	3,50E+00
1,00E+08	2,56E-04	4,98E-02	3,99E-01
1,00E+08	2,28E-04	3,46E+00	3,50E+00
1,00E+08	2,03E-04	4,98E-02	3,99E-01
1,00E+08	1,81E-04	3,46E+00	3,50E+00
1,00E+08	1,61E-04	4,98E-02	3,99E-01
1,00E+08	1,43E-04	3,46E+00	3,50E+00
1,00E+08	1,27E-04	4,98E-02	3,99E-01
1,00E+08	1,13E-04	4,98E-02	8,97E-02
